Correo,Nombre de la Brecha,Dominio,Fecha,Descripción
correo@example.com,OnlinerSpambot,,2017-08-28,"In August 2017, a spambot by the name of <a href=""https://benkowlab.blogspot.com.au/2017/08/from-onliner-spambot-to-millions-of.html"" target=""_blank"" rel=""noopener"">Onliner Spambot was identified by security researcher Benkow moʞuƎq</a>. The malicious software contained a server-based component located on an IP address in the Netherlands which exposed a large number of files containing personal information. In total, there were 711 million unique email addresses, many of which were also accompanied by corresponding passwords. A full write-up on what data was found is in the blog post titled <a href=""https://www.troyhunt.com/inside-the-massive-711-million-record-onliner-spambot-dump"" target=""_blank"" rel=""noopener"">Inside the Massive 711 Million Record Onliner Spambot Dump</a>."
correo@example.com,Wattpad,wattpad.com,2020-06-29,"In June 2020, the user-generated stories website <a href=""https://www.bleepingcomputer.com/news/security/wattpad-data-breach-exposes-account-info-for-millions-of-users/"" target=""_blank"" rel=""noopener"">Wattpad suffered a huge data breach that exposed almost 270 million records</a>. The data was initially sold then published on a public hacking forum where it was broadly shared. The incident exposed extensive personal information including names and usernames, email and IP addresses, genders, birth dates and passwords stored as bcrypt hashes."
correo@example.com,Cit0day,cit0day.in,2020-11-04,"In November 2020, <a href=""https://www.troyhunt.com/inside-the-cit0day-breach-collection"" target=""_blank"" rel=""noopener"">a collection of more than 23,000 allegedly breached websites known as Cit0day were made available for download on several hacking forums</a>. The data consisted of 226M unique email address alongside password pairs, often represented as both password hashes and the cracked, plain text versions. Independent verification of the data established it contains many legitimate, previously undisclosed breaches. The data was provided to HIBP by <a href=""https://dehashed.com/"" target=""_blank"" rel=""noopener"">dehashed.com</a>."
correo@example.com,Nitro,gonitro.com,2020-09-28,"In September 2020, <a href=""https://www.bleepingcomputer.com/news/security/massive-nitro-data-breach-impacts-microsoft-google-apple-more/"" target=""_blank"" rel=""noopener"">the Nitro PDF service suffered a massive data breach which exposed over 70 million unique email addresses</a>. The breach also exposed names, bcrypt password hashes and the titles of converted documents. The data was provided to HIBP by <a href=""https://dehashed.com/"" target=""_blank"" rel=""noopener"">dehashed.com</a>."
correo@example.com,Deezer,deezer.com,2019-04-22,"In late 2022, the music streaming service <a href=""https://restoreprivacy.com/music-service-deezer-data-breach/"" target=""_blank"" rel=""noopener"">Deezer disclosed a data breach that impacted over 240M customers</a>. The breach dated back to a mid-2019 backup exposed by a 3rd party partner which was subsequently sold and then broadly redistributed on a popular hacking forum. Impacted data included 229M unique email addresses, IP addresses, names, usernames, genders, DoBs and the geographic location of the customer."
correo@example.com,Twitter200M,twitter.com,2021-01-01,"In early 2023, <a href=""https://www.bleepingcomputer.com/news/security/200-million-twitter-users-email-addresses-allegedly-leaked-online/"" target=""_blank"" rel=""noopener"">over 200M records scraped from Twitter appeared on a popular hacking forum</a>. The data was obtained sometime in 2021 by abusing an API that enabled email addresses to be resolved to Twitter profiles. The subsequent results were then composed into a corpus of data containing email addresses alongside public Twitter profile information including names, usernames and follower counts."
correo@example.com,NazApi,,2023-09-20,"In September 2023, <a href=""https://www.troyhunt.com/inside-the-massive-naz-api-credential-stuffing-list/"" target=""_blank"" rel=""noopener"">over 100GB of stealer logs and credential stuffing lists titled &quot;Naz.API&quot; was posted to a popular hacking forum</a>. The incident contained a combination of email address and plain text password pairs alongside the service they were entered into, and standalone credential pairs obtained from unnamed sources. In total, the corpus of data included 71M unique email addresses and 100M unique passwords."
correo@example.com,TelegramCombolists,,2024-05-28,"In May 2024, <a href=""https://troyhunt.com/telegram-combolists-and-361m-email-addresses"" target=""_blank"" rel=""noopener"">2B rows of data with 361M unique email addresses were collated from malicious Telegram channels</a>. The data contained 122GB across 1.7k files with email addresses, usernames, passwords and in many cases, the website they were entered into. The data appears to have been sourced from a combination of existing combolists and info stealer malware."
correo@example.com,TelegramStealerLogs,,2024-07-18,"In July 2024, <a href=""https://troyhunt.com/begging-for-bounties-and-more-info-stealer-logs"" target=""_blank"" rel=""noopener"">info stealer logs with 26M unique email addresses were collated from malicious Telegram channels</a>. The data contained 22GB of logs consisting of email addresses, passwords and the websites they were used on, all obtained by malware running on infected machines."
correo@example.com,StealerLogsJan2025,,2025-01-13,"In January 2025, <a href=""https://troyhunt.com/experimenting-with-stealer-logs-in-have-i-been-pwned/"" target=""_blank"" rel=""noopener"">stealer logs with 71M email addresses were added to HIBP</a>. Consisting of email address, password and the website the credentials were entered against, this breach marks the launch of a new HIBP feature enabling the retrieval of the specific websites the logs were collected against. The incident also resulted in 106M more passwords being added to the <a href=""https://haveibeenpwned.com/Passwords"" rel=""noopener"">Pwned Passwords service</a>."
